时间,指标值,控制量,整点标记
2024-08-13 06:00:00,99.55,77.5,1
2024-08-13 06:01:00,99.712,69.6,0
2024-08-13 06:02:00,99.724,69.2,0
2024-08-13 06:03:00,99.736,68.8,0
2024-08-13 06:04:00,99.747,68.45,0
2024-08-13 06:05:00,99.758,68.1,0
2024-08-13 06:06:00,99.768,67.8,0
2024-08-13 06:07:00,99.777,67.54,0
2024-08-13 06:08:00,99.785,67.34,0
2024-08-13 06:09:00,99.792,67.18,0
2024-08-13 06:10:00,99.799,67.03,0
2024-08-13 06:11:00,99.804,66.97,0
2024-08-13 06:12:00,99.808,66.96,0
2024-08-13 06:13:00,99.811,67.0,0
2024-08-13 06:14:00,99.813,67.09,0
2024-08-13 06:15:00,99.814,67.23,0
2024-08-13 06:16:00,99.814,67.42,0
2024-08-13 06:17:00,99.813,67.65,0
2024-08-13 06:18:00,99.812,67.88,0
2024-08-13 06:19:00,99.809,68.21,0
2024-08-13 06:20:00,99.807,68.49,0
2024-08-13 06:21:00,99.804,68.81,0
2024-08-13 06:22:00,99.8,69.18,0
2024-08-13 06:23:00,99.797,69.5,0
2024-08-13 06:24:00,99.793,69.87,0
2024-08-13 06:25:00,99.79,70.18,0
2024-08-13 06:26:00,99.787,70.49,0
2024-08-13 06:27:00,99.785,70.75,0
2024-08-13 06:28:00,99.783,71.0,0
2024-08-13 06:29:00,99.781,71.26,0
2024-08-13 06:30:00,99.781,71.4,0
2024-08-13 06:31:00,99.781,71.55,0
2024-08-13 06:32:00,99.782,71.64,0
2024-08-13 06:33:00,99.784,71.68,0
2024-08-13 06:34:00,99.786,71.71,0
2024-08-13 06:35:00,99.79,71.64,0
2024-08-13 06:36:00,99.794,71.57,0
2024-08-13 06:37:00,99.8,71.39,0
2024-08-13 06:38:00,99.805,71.26,0
2024-08-13 06:39:00,99.812,71.02,0
2024-08-13 06:40:00,99.819,70.78,0
2024-08-13 06:41:00,99.826,70.54,0
2024-08-13 06:42:00,99.834,70.24,0
2024-08-13 06:43:00,99.842,69.94,0
2024-08-13 06:44:00,99.849,69.68,0
2024-08-13 06:45:00,99.857,69.37,0
2024-08-13 06:46:00,99.864,69.1,0
2024-08-13 06:47:00,99.871,68.83,0
2024-08-13 06:48:00,99.877,68.61,0
2024-08-13 06:49:00,99.883,68.38,0
2024-08-13 06:50:00,99.887,68.24,0
2024-08-13 06:51:00,99.891,68.1,0
2024-08-13 06:52:00,99.894,68.01,0
2024-08-13 06:53:00,99.895,68.01,0
2024-08-13 06:54:00,99.896,68.01,0
2024-08-13 06:55:00,99.895,68.1,0
2024-08-13 06:56:00,99.893,68.23,0
2024-08-13 06:57:00,99.89,68.42,0
2024-08-13 06:58:00,99.886,68.64,0
2024-08-13 06:59:00,99.88,68.96,0
2024-08-13 07:00:00,99.724,76.78,1
2024-08-13 07:01:00,99.867,69.64,0
2024-08-13 07:02:00,99.859,70.05,0
2024-08-13 07:03:00,99.85,70.5,0
2024-08-13 07:04:00,99.841,70.95,0
2024-08-13 07:05:00,99.831,71.44,0
2024-08-13 07:06:00,99.821,71.92,0
2024-08-13 07:07:00,99.811,72.41,0
2024-08-13 07:08:00,99.801,72.88,0
2024-08-13 07:09:00,99.791,73.36,0
2024-08-13 07:10:00,99.781,73.82,0
2024-08-13 07:11:00,99.772,74.23,0
2024-08-13 07:12:00,99.763,74.64,0
2024-08-13 07:13:00,99.755,74.99,0
2024-08-13 07:14:00,99.748,75.29,0
2024-08-13 07:15:00,99.742,75.53,0
2024-08-13 07:16:00,99.736,75.77,0
2024-08-13 07:17:00,99.732,75.9,0
2024-08-13 07:18:00,99.728,76.03,0
2024-08-13 07:19:00,99.725,76.11,0
2024-08-13 07:20:00,99.723,76.12,0
2024-08-13 07:21:00,99.722,76.09,0
2024-08-13 07:22:00,99.722,76.0,0
2024-08-13 07:23:00,99.722,75.9,0
2024-08-13 07:24:00,99.723,75.76,0
2024-08-13 07:25:00,99.725,75.55,0
2024-08-13 07:26:00,99.727,75.35,0
2024-08-13 07:27:00,99.729,75.13,0
2024-08-13 07:28:00,99.731,74.92,0
2024-08-13 07:29:00,99.733,74.7,0
2024-08-13 07:30:00,99.736,74.42,0
2024-08-13 07:31:00,99.737,74.25,0
2024-08-13 07:32:00,99.738,74.07,0
2024-08-13 07:33:00,99.739,73.88,0
2024-08-13 07:34:00,99.739,73.74,0
2024-08-13 07:35:00,99.738,73.65,0
2024-08-13 07:36:00,99.737,73.55,0
2024-08-13 07:37:00,99.734,73.55,0
2024-08-13 07:38:00,99.731,73.55,0
2024-08-13 07:39:00,99.726,73.65,0
2024-08-13 07:40:00,99.721,73.74,0
2024-08-13 07:41:00,99.714,73.93,0
2024-08-13 07:42:00,99.707,74.11,0
2024-08-13 07:43:00,99.699,74.34,0
2024-08-13 07:44:00,99.69,74.62,0
2024-08-13 07:45:00,99.68,74.95,0
2024-08-13 07:46:00,99.67,75.28,0
2024-08-13 07:47:00,99.659,75.65,0
2024-08-13 07:48:00,99.647,76.07,0
2024-08-13 07:49:00,99.636,76.44,0
2024-08-13 07:50:00,99.624,76.85,0
2024-08-13 07:51:00,99.613,77.22,0
2024-08-13 07:52:00,99.602,77.58,0
2024-08-13 07:53:00,99.591,77.94,0
2024-08-13 07:54:00,99.581,78.25,0
2024-08-13 07:55:00,99.571,78.56,0
2024-08-13 07:56:00,99.563,78.76,0
2024-08-13 07:57:00,99.555,78.97,0
2024-08-13 07:58:00,99.548,79.12,0
2024-08-13 07:59:00,99.542,79.23,0
2024-08-13 08:00:00,99.4,85.0,1
2024-08-13 08:01:00,99.533,79.28,0
2024-08-13 08:02:00,99.531,79.18,0
2024-08-13 08:03:00,99.529,79.08,0
2024-08-13 08:04:00,99.529,78.88,0
2024-08-13 08:05:00,99.53,78.63,0
2024-08-13 08:06:00,99.532,78.33,0
2024-08-13 08:07:00,99.534,78.03,0
2024-08-13 08:08:00,99.538,77.63,0
2024-08-13 08:09:00,99.542,77.23,0
2024-08-13 08:10:00,99.547,76.78,0
2024-08-13 08:11:00,99.552,76.34,0
2024-08-13 08:12:00,99.558,75.84,0
2024-08-13 08:13:00,99.563,75.39,0
2024-08-13 08:14:00,99.569,74.89,0
2024-08-13 08:15:00,99.574,74.45,0
2024-08-13 08:16:00,99.58,73.96,0
2024-08-13 08:17:00,99.585,73.51,0
2024-08-13 08:18:00,99.589,73.12,0
2024-08-13 08:19:00,99.593,72.73,0
2024-08-13 08:20:00,99.596,72.39,0
2024-08-13 08:21:00,99.598,72.11,0
2024-08-13 08:22:00,99.6,71.82,0
2024-08-13 08:23:00,99.6,71.64,0
2024-08-13 08:24:00,99.6,71.46,0
2024-08-13 08:25:00,99.599,71.33,0
2024-08-13 08:26:00,99.597,71.26,0
2024-08-13 08:27:00,99.594,71.23,0
2024-08-13 08:28:00,99.591,71.21,0
2024-08-13 08:29:00,99.587,71.24,0
2024-08-13 08:30:00,99.583,71.28,0
2024-08-13 08:31:00,99.578,71.36,0
2024-08-13 08:32:00,99.573,71.46,0
2024-08-13 08:33:00,99.568,71.55,0
2024-08-13 08:34:00,99.563,71.64,0
2024-08-13 08:35:00,99.558,71.74,0
2024-08-13 08:36:00,99.553,71.85,0
2024-08-13 08:37:00,99.549,71.9,0
2024-08-13 08:38:00,99.545,71.96,0
2024-08-13 08:39:00,99.542,71.98,0
2024-08-13 08:40:00,99.54,71.95,0
2024-08-13 08:41:00,99.539,71.87,0
2024-08-13 08:42:00,99.538,71.79,0
2024-08-13 08:43:00,99.539,71.62,0
2024-08-13 08:44:00,99.541,71.4,0
2024-08-13 08:45:00,99.544,71.14,0
2024-08-13 08:46:00,99.548,70.83,0
2024-08-13 08:47:00,99.554,70.43,0
2024-08-13 08:48:00,99.56,70.03,0
2024-08-13 08:49:00,99.567,69.58,0
2024-08-13 08:50:00,99.576,69.04,0
2024-08-13 08:51:00,99.585,68.5,0
2024-08-13 08:52:00,99.595,67.92,0
2024-08-13 08:53:00,99.606,67.29,0
2024-08-13 08:54:00,99.617,66.67,0
2024-08-13 08:55:00,99.628,66.05,0
2024-08-13 08:56:00,99.64,65.39,0
2024-08-13 08:57:00,99.652,64.73,0
2024-08-13 08:58:00,99.663,64.12,0
2024-08-13 08:59:00,99.675,63.47,0
2024-08-13 09:00:00,99.536,70.38,1
2024-08-13 09:01:00,99.696,62.34,0
2024-08-13 09:02:00,99.706,61.81,0
2024-08-13 09:03:00,99.715,61.33,0
2024-08-13 09:04:00,99.723,60.9,0
2024-08-13 09:05:00,99.731,60.48,0
2024-08-13 09:06:00,99.737,60.17,0
2024-08-13 09:07:00,99.743,59.86,0
2024-08-13 09:08:00,99.747,59.65,0
2024-08-13 09:09:00,99.75,59.5,0
2024-08-13 09:10:00,99.753,59.36,0
2024-08-13 09:11:00,99.754,59.32,0
2024-08-13 09:12:00,99.755,59.28,0
2024-08-13 09:13:00,99.755,59.3,0
2024-08-13 09:14:00,99.754,59.38,0
2024-08-13 09:15:00,99.753,59.46,0
2024-08-13 09:16:00,99.751,59.59,0
2024-08-13 09:17:00,99.749,59.73,0
2024-08-13 09:18:00,99.746,59.92,0
